accuracy,loss,val_accuracy,val_loss
0.9179580211639404,0.24875593185424805,0.9665866494178772,0.11632589995861053
0.9374381303787231,0.1835840493440628,0.9717555642127991,0.09402070194482803
0.9448755383491516,0.16041512787342072,0.9732323884963989,0.08507068455219269
0.9494116902351379,0.14967583119869232,0.9784013032913208,0.07074109464883804
0.9530267715454102,0.13698892295360565,0.9772937297821045,0.07281177490949631
0.9573326706886292,0.12600253522396088,0.9767398834228516,0.07178401201963425
0.9575168490409851,0.12330197542905807,0.9789551496505737,0.0621606670320034
0.9584839344024658,0.11830678582191467,0.9808011651039124,0.06023293733596802
0.9602569937705994,0.11713665723800659,0.9826472401618958,0.05820096656680107
0.9630891680717468,0.10735724121332169,0.9820933938026428,0.05987542122602463
